,fid,long,lat,iso3,SSP1,SSP3,SSP5
3210,18800,37.5,-99.5,USA17729.0,36.26605174763112,11.691951424269645,56.82610088368489
3211,18801,37.5,-98.5,USA17730.0,36.867915595461575,12.82462331199181,56.8271226376143
3212,18802,37.5,-97.5,USA17731.0,0.0,0.0,0.0
3213,18803,37.5,-96.5,USA17732.0,13.794886335206899,-9.381723568557467,28.127824941207866
3214,18804,37.5,-95.5,USA17733.0,17.536735064247313,-5.9064687629230965,32.33875694314284
3215,18805,37.5,-94.5,USA17734.0,20.069225570299587,-3.6210426996968663,36.56759614290781
3216,18806,37.5,-93.5,USA17735.0,0.0,0.0,100.0
3217,18807,37.5,-92.5,USA17736.0,0.0,0.0,0.0
3218,18808,37.5,-91.5,USA17737.0,0.0,0.0,0.0
3219,18809,37.5,-90.5,USA17738.0,14.286996235789752,-4.520043514333439,30.750024008450975
3220,18810,37.5,-89.5,USA17739.0,-0.7875602623883664,-6.803524855765431,16.027029163044336
3221,18811,37.5,-88.5,USA17740.0,26.010262552571763,-2.445862993562086,40.56430428332267
3222,18812,37.5,-87.5,USA17741.0,13.29985554559149,30.767132425376268,12.676757859954323
3223,18813,37.5,-86.5,USA17742.0,26.197887984446403,22.680998595667724,25.533597185784462
3224,18814,37.5,-85.5,USA17743.0,15.607187711332239,22.928944063375518,16.21340933243165
3225,18815,37.5,-84.5,USA17744.0,-0.8257250268528464,-14.933539205155746,12.204618689581096
3226,18816,37.5,-83.5,USA17745.0,2.094357978596956,-14.51727285984542,15.576837407582758
3227,18817,37.5,-82.5,USA17746.0,2.3613874595807536,-14.410787710447968,15.596629050591554
3228,18818,37.5,-81.5,USA18056.0,17.557912947320865,-11.335227081172043,29.324964624674784
3229,18819,37.5,-80.5,USA18057.0,0.0,0.0,0.0
3230,18820,37.5,-79.5,USA18058.0,0.0,0.0,0.0
3231,18821,37.5,-78.5,USA18059.0,-9.044450966963442,-17.159116850927827,1.4085379773668592
3232,18822,37.5,-77.5,USA18060.0,-21.451900237529692,-19.256606294536816,-11.965558194774347
