,fid,lat,long,iso3,2015
224,11437,58.5,97.5,RUS11437.0,0.26685725508049796
225,11438,58.5,98.5,RUS11438.0,0.6563997299888072
226,11439,58.5,99.5,RUS11439.0,0.21319765034600763
227,11440,58.5,100.5,RUS11440.0,0.8271258852357911
228,11441,58.5,101.5,RUS11441.0,0.15073590127525416
229,11728,57.5,28.5,RUS11728.0,0.0
230,11729,57.5,29.5,RUS11729.0,0.9689644661174549
231,11730,57.5,30.5,RUS11730.0,0.1361050439109509
232,11731,57.5,31.5,RUS11731.0,0.3181276125827736
233,11732,57.5,32.5,RUS11732.0,0.27467481951337597
234,11733,57.5,33.5,RUS11733.0,0.1913892054860267
235,11734,57.5,34.5,RUS11734.0,0.15203882868073382
236,11735,57.5,35.5,RUS11735.0,0.15423444186528268
237,11736,57.5,36.5,RUS11736.0,0.8004043866579184
238,11737,57.5,37.5,RUS11737.0,1.4416415861345944
239,11738,57.5,38.5,RUS11738.0,1.0792177236985232
240,11739,57.5,39.5,RUS11739.0,0.4347379744066987
241,11740,57.5,40.5,RUS11740.0,0.1487175124733146
242,11741,57.5,41.5,RUS11741.0,0.07682020599512016
243,11742,57.5,42.5,RUS11742.0,0.13388645719532305
244,11743,57.5,43.5,RUS11743.0,0.21761513217919565
245,11744,57.5,44.5,RUS11744.0,0.1572505383026525
246,11745,57.5,45.5,RUS11745.0,0.0
247,11746,57.5,46.5,RUS11746.0,0.23584298812386592
248,11747,57.5,47.5,RUS11747.0,1.4988095772581471
249,11748,57.5,48.5,RUS11748.0,0.32968329871550395
250,11749,57.5,49.5,RUS11749.0,0.13176632847003372
251,11750,57.5,50.5,RUS11750.0,0.5093199020881233
252,11751,57.5,51.5,RUS11751.0,0.23222957987844245
253,11752,57.5,52.5,RUS11752.0,0.2885836516151968
254,11753,57.5,53.5,RUS11753.0,1.5144020409947565
255,11754,57.5,54.5,RUS11754.0,2.1094427514046017
256,11755,57.5,55.5,RUS11755.0,0.3760767037630119
257,11756,57.5,56.5,RUS11756.0,0.46616576492275247
258,11757,57.5,57.5,RUS11757.0,0.8589212522491086
259,11758,57.5,58.5,RUS11758.0,0.4219482814617257
260,11759,57.5,59.5,RUS11759.0,0.2775366650992155
261,11760,57.5,60.5,RUS11760.0,0.10655451907735149
262,11761,57.5,61.5,RUS11761.0,0.1527706997422501
263,11762,57.5,62.5,RUS11762.0,0.07235677709977417
264,11763,57.5,63.5,RUS11763.0,0.12260645343554061
265,11764,57.5,64.5,RUS11764.0,0.053397050093587604
266,11765,57.5,65.5,RUS11765.0,0.042057971539602036
267,11766,57.5,66.5,RUS11766.0,0.39762915784811265
268,11767,57.5,67.5,RUS11767.0,0.024128771498958576
269,11768,57.5,68.5,RUS11768.0,0.024000776111518508
270,11769,57.5,69.5,RUS11769.0,0.005513647458956802
271,11770,57.5,70.5,RUS11770.0,0.00614049666411201
272,11771,57.5,71.5,RUS11771.0,0.006957697983921679
273,11772,57.5,72.5,RUS11772.0,0.008391902709852704
274,11773,57.5,73.5,RUS11773.0,0.011831368505678138
275,11774,57.5,74.5,RUS11774.0,0.036731394262288414
276,11775,57.5,75.5,RUS11775.0,0.047371421084870524
277,11776,57.5,76.5,RUS11776.0,0.04861527369614709
278,11777,57.5,77.5,RUS11777.0,0.02872347771475591
279,11778,57.5,78.5,RUS11778.0,0.030518695071928156
280,11779,57.5,79.5,RUS11779.0,0.021549172152089503
281,11780,57.5,80.5,RUS11780.0,0.008395184642863988
282,11781,57.5,81.5,RUS11781.0,0.00793243208827297
283,11782,57.5,82.5,RUS11782.0,0.009182848565572103
284,11783,57.5,83.5,RUS11783.0,0.29191153168863854
285,11784,57.5,84.5,RUS11784.0,0.036642782070983745
286,11785,57.5,85.5,RUS11785.0,0.01923212744612313
287,11786,57.5,86.5,RUS11786.0,0.020292191808767804
288,11787,57.5,87.5,RUS11787.0,0.025625332952103994
289,11788,57.5,88.5,RUS11788.0,0.019836003120199352
290,11789,57.5,89.5,RUS11789.0,0.015461186416158033
291,11790,57.5,90.5,RUS11790.0,0.012303966859303007
292,11791,57.5,91.5,RUS11791.0,0.0
293,11792,57.5,92.5,RUS11792.0,0.0
294,11793,57.5,93.5,RUS11793.0,0.0005546466789069641
295,11794,57.5,94.5,RUS11794.0,0.0292124857334372
296,11795,57.5,95.5,RUS11795.0,0.3848525926351848
297,11796,57.5,96.5,RUS11796.0,0.22869493802528978
298,11797,57.5,97.5,RUS11797.0,0.0
299,11798,57.5,98.5,RUS11798.0,0.0
300,11799,57.5,99.5,RUS11799.0,0.3193977206581405
301,11800,57.5,100.5,RUS11800.0,1.1758903424788991
302,12089,56.5,29.5,RUS12089.0,0.6329142173600604
303,12090,56.5,30.5,RUS12090.0,0.29643731731119893
304,12091,56.5,31.5,RUS12091.0,1.1107472541379269
305,12092,56.5,32.5,RUS12092.0,0.3840518009804315
306,12093,56.5,33.5,RUS12093.0,0.6172561149632253
307,12094,56.5,34.5,RUS12094.0,0.28830468730923764
308,12095,56.5,35.5,RUS12095.0,0.4896184582213866
309,12096,56.5,36.5,RUS12096.0,0.004657062943011728
310,12097,56.5,37.5,RUS12097.0,0.0
311,12098,56.5,38.5,RUS12098.0,0.26914148045635145
312,12099,56.5,39.5,RUS12099.0,0.28820294738588786
313,12100,56.5,40.5,RUS12100.0,0.8348056084821952
314,12101,56.5,41.5,RUS12101.0,2.920227892177211
315,12102,56.5,42.5,RUS12102.0,0.48780354926614666
316,12103,56.5,43.5,RUS12103.0,0.23680459449617208
317,12104,56.5,44.5,RUS12104.0,0.0
318,12105,56.5,45.5,RUS12105.0,0.2130827826906127
319,12106,56.5,46.5,RUS12106.0,0.13267214198114805
320,12107,56.5,47.5,RUS12107.0,0.09162500580902143
321,12108,56.5,48.5,RUS12108.0,0.0
322,12109,56.5,49.5,RUS12109.0,0.09483801822706828
323,12110,56.5,50.5,RUS12110.0,0.14793969434964033
324,12111,56.5,51.5,RUS12111.0,0.4751516975076476
325,12112,56.5,52.5,RUS12112.0,1.5615273171037807
326,12113,56.5,53.5,RUS12113.0,0.4154894372955192
327,12114,56.5,54.5,RUS12114.0,0.8212413793465593
328,12115,56.5,55.5,RUS12115.0,0.6713883180513405
329,12116,56.5,56.5,RUS12116.0,1.4707949970738285
330,12117,56.5,57.5,RUS12117.0,1.4611493959536654
331,12118,56.5,58.5,RUS12118.0,1.580204797870997
332,12119,56.5,59.5,RUS12119.0,0.6381127992499339
333,12120,56.5,60.5,RUS12120.0,0.39695964351381074
334,12121,56.5,61.5,RUS12121.0,0.2343464266707205
335,12122,56.5,62.5,RUS12122.0,0.0
336,12123,56.5,63.5,RUS12123.0,0.0
337,12124,56.5,64.5,RUS12124.0,0.5592709225198629
338,12125,56.5,65.5,RUS12125.0,0.0
339,12126,56.5,66.5,RUS12126.0,0.0
340,12127,56.5,67.5,RUS12127.0,0.15920657037737765
341,12128,56.5,68.5,RUS12128.0,0.1533417560862135
342,12129,56.5,69.5,RUS12129.0,0.3323843295837905
343,12130,56.5,70.5,RUS12130.0,2.776180570378953
344,12131,56.5,71.5,RUS12131.0,0.4844691053266823
345,12132,56.5,72.5,RUS12132.0,0.6706991121189708
346,12133,56.5,73.5,RUS12133.0,0.6673909236435968
347,12134,56.5,74.5,RUS12134.0,0.30940095270577
348,12135,56.5,75.5,RUS12135.0,0.21092983463521053
349,12136,56.5,76.5,RUS12136.0,1.0846000938370286
350,12137,56.5,77.5,RUS12137.0,5.697340531531368
351,12138,56.5,78.5,RUS12138.0,1.012758580220026
352,12139,56.5,79.5,RUS12139.0,0.517249052243385
353,12140,56.5,80.5,RUS12140.0,0.0
354,12141,56.5,81.5,RUS12141.0,0.1676739575464899
355,12142,56.5,82.5,RUS12142.0,2.4186533519957174
356,12143,56.5,83.5,RUS12143.0,0.2845435920783064
357,12144,56.5,84.5,RUS12144.0,0.08235354505214466
358,12145,56.5,85.5,RUS12145.0,0.06264553731938538
359,12146,56.5,86.5,RUS12146.0,0.0544111673940743
360,12147,56.5,87.5,RUS12147.0,0.05015778221145048
361,12148,56.5,88.5,RUS12148.0,0.0380507313328245
362,12149,56.5,89.5,RUS12149.0,0.02461449758462858
363,12150,56.5,90.5,RUS12150.0,0.059402987504236976
364,12151,56.5,91.5,RUS12151.0,0.06604561991907541
365,12152,56.5,92.5,RUS12152.0,0.05182172224817137
366,12153,56.5,93.5,RUS12153.0,0.02020357961746314
367,12154,56.5,94.5,RUS12154.0,0.01595019443483932
368,12155,56.5,95.5,RUS12155.0,0.012710926552702199
369,12156,56.5,96.5,RUS12156.0,0.017338452098612372
370,12157,56.5,97.5,RUS12157.0,0.01272077235173605
371,12159,56.5,99.5,RUS12159.0,0.01552026121036114
372,12448,55.5,28.5,RUS12448.0,0.019941024976560435
373,12449,55.5,29.5,RUS12449.0,0.06536297785272838
374,12450,55.5,30.5,RUS12450.0,0.4109603697399475
375,12451,55.5,31.5,RUS12451.0,0.3381999148797854
376,12452,55.5,32.5,RUS12452.0,0.05156244954027995
377,12453,55.5,33.5,RUS12453.0,0.033754681021053994
378,12454,55.5,34.5,RUS12454.0,0.03405333692508082
379,12455,55.5,35.5,RUS12455.0,0.020938732611990713
380,12456,55.5,36.5,RUS12456.0,0.027020154481899615
381,12457,55.5,37.5,RUS12457.0,0.034112411719283926
382,12458,55.5,38.5,RUS12458.0,0.06221888602791849
383,12459,55.5,39.5,RUS12459.0,0.057758739065583785
384,12460,55.5,40.5,RUS12460.0,0.049629390996633785
385,12461,55.5,41.5,RUS12461.0,0.05174295585590056
386,12462,55.5,42.5,RUS12462.0,0.047302500491633565
387,12463,55.5,43.5,RUS12463.0,0.05298680846717713
388,12464,55.5,44.5,RUS12464.0,0.05835933280664873
389,12465,55.5,45.5,RUS12465.0,0.03161814263070823
