,fid,lat,long,UN_cur,NCP_cur,population
7618,32143,0.5,-76.5,0.0,1.0000000794728596,18647
7619,32144,0.5,-75.5,0.7341909780666115,0.04848680521051089,74035
7620,32499,-0.5,-80.5,0.028062930738150384,0.5317486356943846,123013
7621,32500,-0.5,-79.5,0.0008997348785080772,0.9999106923739115,328284
7622,32501,-0.5,-78.5,23.445727883540254,0.9474779566129049,2010117
7623,32502,-0.5,-77.5,0.061387489111580124,0.9972290396690369,215534
7624,32503,-0.5,-76.5,0.514127789285193,0.9883639415105184,175141
7625,32504,-0.5,-75.5,0.010990256285560015,0.99736487865448,73097
7626,32859,-1.5,-80.5,0.00011825633440377216,0.9999767939249674,118562
7627,32860,-1.5,-79.5,0.057486816825949895,0.8570866584777832,72538
7628,32861,-1.5,-78.5,7070.89581825802,0.10971666624148686,725736
7629,32862,-1.5,-77.5,1126.449692434963,0.18194162597258887,361860
7630,33219,-2.5,-80.5,945.8122580042958,0.04389726867278417,52148
7631,33220,-2.5,-79.5,139.58946190384856,0.5621086955070496,45277
7632,33221,-2.5,-78.5,907.8510122284318,0.021511224408944447,36484
7633,33222,-2.5,-77.5,3.7816455768547876,0.18757623930772147,18252
7634,33579,-3.5,-80.5,50.38094747044246,0.4149324099222819,202111
7635,33580,-3.5,-79.5,10.818858537028307,0.6050860186417898,131767
7636,33581,-3.5,-78.5,1346.260221745288,0.5638487935066223,341015
7637,33939,-4.5,-80.5,362.6002287981919,0.5109828412532806,115319
7638,33940,-4.5,-79.5,355.8150681325753,0.055357164392868675,621642
7639,33941,-4.5,-78.5,0.5613849169109603,0.38314421599109966,139415
7640,34300,-5.5,-79.5,2.682380369627824,0.09492241342862447,150608
7641,32610,-0.5,30.5,0.24975804191791406,0.11675862471262614,58157
7642,32611,-0.5,31.5,0.0,1.0,25378
7643,32612,-0.5,32.5,0.0,1.00000003973643,30450
7644,32971,-1.5,31.5,0.0,0.0,7347
