,fid,long,lat,iso3,SSP1,SSP3,SSP5
5617,27183,14.5,3.5,PHL28382.0,-31.208010267640624,-99.84513680423974,-93.30310786403356
5618,27184,14.5,4.5,PHL28383.0,-38.17456131607401,-98.30348603553684,-84.33168181814614
5619,27185,14.5,5.5,PHL28384.0,-18.410081773106317,-40.68091001215796,-26.004195695563727
5620,27186,14.5,6.5,PHL28385.0,-50.4216805371196,-88.47548805075945,-86.53353216101624
5621,27187,14.5,7.5,PHL28739.0,-18.51768810783243,-57.914637179420595,-41.64529139062721
5622,27188,14.5,8.5,PHL28741.0,-3.4481817630254237,-88.68399501694914,-86.69549113606136
5623,27189,14.5,9.5,PHL28742.0,-6.386390406048058,-86.44369495050513,-81.43509256221454
5624,27190,14.5,10.5,PHL28743.0,-6.864434475481127,-27.6132350236518,-8.446699771296757
5625,27191,14.5,11.5,PHL28744.0,-52.269314635669176,5113.913566363836,5828.384669014016
5626,27192,14.5,12.5,PHL28745.0,-27.374824063481128,-78.2833119239972,-68.15657611500741
5627,27540,13.5,0.5,PHL29098.0,-9.896671986591606,-39.34293960244124,-21.548001774025554
5628,27541,13.5,1.5,PHL29102.0,-32.52032620090746,-36.45062500791415,-19.147446652027288
5629,27542,13.5,2.5,PHL29103.0,-95.1698788344822,-93.70151917510498,-94.97254969404817
5630,27543,13.5,3.5,PHL29104.0,-43.56941964852491,-100.0,-91.84578762402495
5631,27901,12.5,1.5,PHL29105.0,-97.189459862471,-100.0,-39.75235182408399
5632,26504,16.5,44.5,PHL29106.0,0.0,-0.006031989931413557,-3.9736429023761076e-06
5633,26508,16.5,48.5,PHL29457.0,-2.3484132415500856,-97.81770036445782,-3.264146366246908
5634,26509,16.5,49.5,PHL29462.0,2.781691731016035,-97.79906598056911,-21.2416421381784
5635,26862,15.5,42.5,PHL29463.0,19.85867708227442,-98.56187287857672,-36.07418287720438
5636,26863,15.5,43.5,PHL29464.0,-11.799400279959233,-99.33453997980288,-74.64975134318591
5637,26864,15.5,44.5,PHL29465.0,-6.748399609249073,-99.13084666237498,-57.588585716643806
5638,26865,15.5,45.5,PHL29466.0,62.24382272584623,-99.28030197730901,13.524150824517218
5639,26867,15.5,47.5,PHL29821.0,25.294665849351134,-99.36402452987036,18.148687515107536
5640,26868,15.5,48.5,PHL29822.0,4.172911525712837,1.0684306187017838,6.775133136493881
5641,26869,15.5,49.5,PHL29823.0,17.393010747466818,-3.29591347713674,40.889416966090636
5642,26871,15.5,51.5,PHL29824.0,2.349855929540633,1.5644502118901664,1.1672184191598982
5643,27223,14.5,43.5,PHL29825.0,1.1000663042691166,0.9078209334923603,1.1917402360629366
5644,27224,14.5,44.5,PHL29826.0,0.10916485143669001,0.08922767448824392,-0.7503446840237634
5645,27227,14.5,47.5,PHL30180.0,2.923374794918967,0.6256891125109573,10.738003057265683
5646,27228,14.5,48.5,PHL30181.0,10.735587662183349,-1.9543399189091002,25.39984550879944
5647,27583,13.5,43.5,PHL30182.0,7.157187206736687,-3.1653741035886607,21.363754529844467
5648,27584,13.5,44.5,PHL30184.0,-0.7343859969114445,-0.31395101359342564,4.895071101677896
5649,27585,13.5,45.5,PHL30185.0,2.683884897788361,-0.44552747271332116,5.215374289672877
5650,27586,13.5,46.5,PHL30186.0,9.059423256507818,-2.22797869897951,20.96817262416551
5651,27944,12.5,44.5,PHL30540.0,17.003504905912745,-1.4069306871722815,42.15200717426564
5652,27954,12.5,54.5,PHL30545.0,-9.934106669372496e-06,-5.960464003843944e-06,-2.084473603210954
5653,26729,15.5,-90.5,JAM25661.0,2.7100037809758772,3.3911325131460814,0.18305757522298025
5654,27088,14.5,-91.5,JAM25662.0,7.761811657488231,8.636569112461855,-2.034601432788518
5655,27089,14.5,-90.5,JAM25663.0,14.070558238213899,-11.470376938706638,-1.7422437434671243
5656,26732,15.5,-87.5,JAM26022.0,15.966809036897592,15.768732666027423,21.378623516907254
5657,26733,15.5,-86.5,PRI25672.0,-22.05161956007157,-20.925990978415438,-16.390462607663807
5658,26734,15.5,-85.5,PRI25673.0,0.20488395949389088,-0.18231798877857974,-6.970399747050841
5659,26735,15.5,-84.5,PRI25674.0,180.21306421705103,9.005932028915021,0.44867512814209065
5660,27090,14.5,-89.5,MLI25742.0,14.704963276292837,3.5989565343230017,2.951122671523191
5661,27091,14.5,-88.5,MLI26455.0,99.23303206048041,6.8199792203184355,0.35238691446271053
5662,27092,14.5,-87.5,MLI26456.0,11.637246231880116,-25.72400861883747,0.34409937167972376
5663,27451,13.5,-88.5,MLI26457.0,71.4059492450559,3.111432535175784,-5.427731149875568
5664,26736,15.5,-83.5,MLI26458.0,2.85047481955902,-31.816732570334295,-3.864816151683449
5665,27093,14.5,-86.5,MLI26459.0,13.059838445302812,-4.50306884443443,0.0712096814997415
5666,27094,14.5,-85.5,MLI26460.0,50032.08832909631,74334.84184499382,19515.488709472673
5667,27095,14.5,-84.5,MLI26461.0,-14.539116098540388,-44.653785736457706,-23.824594738115778
5668,27096,14.5,-83.5,MLI26462.0,54.06531695058511,-16.328946039297403,25.165217537097785
5669,27452,13.5,-87.5,MLI26463.0,3.9736429924275285e-06,3.9736429924275285e-06,3.9736429924275285e-06
5670,27453,13.5,-86.5,MLI26464.0,302.94650603968904,86.76138176777246,81.87652314835721
5671,27454,13.5,-85.5,MLI26815.0,7.563460578394975,-82.54488381669272,-62.998280802632564
5672,27455,13.5,-84.5,MLI26816.0,0.8767051801350314,-64.4663646400339,-21.292811843122852
5673,27456,13.5,-83.5,MLI26817.0,0.07148988753748989,126.14558903599253,115.4110010051888
5674,27812,12.5,-87.5,MLI26818.0,-1.1310621811683292,6.469708423095025,-24.60559950674927
5675,27813,12.5,-86.5,MLI26819.0,2.2197832354355636,342.00809313217206,355.6103063058368
5676,27814,12.5,-85.5,MLI26820.0,-0.5707065326970279,-45.07393034286055,-50.132909516946036
5677,27815,12.5,-84.5,MLI26821.0,1.7770498424435934,-72.66576763497294,-8.522397789451269
5678,27816,12.5,-83.5,MLI26822.0,43.952656928736324,-61.3949197276691,-12.660522955218468
5679,28173,11.5,-86.5,MLI26823.0,29.721179723574465,-86.47940895862044,-92.1045445338428
5680,26803,15.5,-16.5,MLI27169.0,0.02591198195760458,-1.6175106068425018,0.9442471357775147
5681,26804,15.5,-15.5,MLI27170.0,0.6134571102928077,53.4493751055786,24.48779519201456
5682,26805,15.5,-14.5,MLI27171.0,-3.2693675638564708,-1.7534100147863076,-8.98271826252126
5683,27162,14.5,-17.5,MLI27172.0,0.08772441682487563,14.402056658760722,2.6999324045412108
5684,27163,14.5,-16.5,MLI27173.0,0.04179027591908724,17.469320399607543,12.302874718453179
5685,27164,14.5,-15.5,MLI27174.0,0.0,15.942961195644715,3.6259371919945127
5686,27165,14.5,-14.5,MLI27175.0,-0.9039995576012146,3.3410803580892265,0.8986402710639526
5687,27166,14.5,-13.5,MLI27176.0,0.40087345677918906,-4.689609187905833,-0.32743836241355
5688,26840,15.5,20.5,MLI27177.0,-0.7665005583415233,-1.4874194945171575,-2.236719105098903
5689,26841,15.5,21.5,MLI27178.0,0.7873359868944625,5.678380198197795,1.0070392748523778
5690,26842,15.5,22.5,MLI27179.0,0.3663834687792678,-6.911515920598848,0.5225223625538388
5691,27194,14.5,14.5,MLI27180.0,0.7331030765884189,-12.77603405082242,0.2361780573613637
5692,27195,14.5,15.5,MLI27527.0,0.43593816125262536,4.342569193300392,1.447337564074799
5693,27196,14.5,16.5,MLI27528.0,0.08940038639794069,9.700694720855283,2.3985232647060197
5694,27197,14.5,17.5,MLI27529.0,0.6293927857790488,0.30010359420230787,0.4531590719957926
5695,27198,14.5,18.5,MLI27530.0,-1.815083314261793,-0.5598467524203691,-1.0191437039991833
5696,27199,14.5,19.5,MLI27531.0,-0.6385716720490179,-1.9636700330074703,-2.835443940966723
5697,27200,14.5,20.5,MLI27532.0,0.9928640179417015,-3.1170911925912845,-1.3947854978635608
5698,27201,14.5,21.5,MLI27533.0,-0.2590548556991803,-3.1915819442374547,-0.14147137933632464
5699,27202,14.5,22.5,MLI27534.0,43.118897854475144,-55.96838013280345,-54.79949331905113
5700,27555,13.5,15.5,MLI27535.0,13.272271405461986,-75.74681076126816,-69.95862097190937
5701,27556,13.5,16.5,MLI27536.0,9.910173681700474,-87.35592481368008,-86.93505225025609
5702,27557,13.5,17.5,MLI27537.0,12.899208636769574,-58.7763648616984,-52.66883802694582
5703,27558,13.5,18.5,MLI27892.0,42.65390827963046,-100.0,-100.0
