,fid,long,lat,iso3,2015
280,11779,57.5,79.5,RUS11779.0,0.0
281,11780,57.5,80.5,RUS11780.0,0.0
282,11781,57.5,81.5,RUS11781.0,0.0
283,11782,57.5,82.5,RUS11782.0,99.9999980131785
284,11783,57.5,83.5,RUS11783.0,97.32841650644937
285,11784,57.5,84.5,RUS11784.0,0.0
286,11785,57.5,85.5,RUS11785.0,0.0
287,11786,57.5,86.5,RUS11786.0,66.66666666666666
288,11787,57.5,87.5,RUS11787.0,0.0
289,11788,57.5,88.5,RUS11788.0,0.0
290,11789,57.5,89.5,RUS11789.0,100.0
291,11790,57.5,90.5,RUS11790.0,0.0
292,11791,57.5,91.5,RUS11791.0,30.887003739674885
293,11792,57.5,92.5,RUS11792.0,22.75493939717611
294,11793,57.5,93.5,RUS11793.0,33.33333333333333
295,11794,57.5,94.5,RUS11794.0,99.99999602635702
296,11795,57.5,95.5,RUS11795.0,85.55153409639993
297,11796,57.5,96.5,RUS11796.0,28.64326536655426
298,11797,57.5,97.5,RUS11797.0,1.3028176501393318
299,11798,57.5,98.5,RUS11798.0,6.721470753351848
300,11799,57.5,99.5,RUS11799.0,28.468363483746845
301,11800,57.5,100.5,RUS11800.0,28.224992752075195
302,12089,56.5,29.5,RUS12089.0,21.823430061340332
303,12090,56.5,30.5,RUS12090.0,78.627081712087
304,12091,56.5,31.5,RUS12091.0,41.56163831551869
305,12092,56.5,32.5,RUS12092.0,93.76648863156638
306,12093,56.5,33.5,RUS12093.0,98.10039401054382
307,12094,56.5,34.5,RUS12094.0,84.75068410237631
308,12095,56.5,35.5,RUS12095.0,97.51254518826804
309,12096,56.5,36.5,RUS12096.0,32.505351305007935
310,12097,56.5,37.5,RUS12097.0,24.3573988477389
311,12098,56.5,38.5,RUS12098.0,83.70859821637472
312,12099,56.5,39.5,RUS12099.0,92.30625033378601
313,12100,56.5,40.5,RUS12100.0,99.65553681055704
314,12101,56.5,41.5,RUS12101.0,98.80107839902243
315,12102,56.5,42.5,RUS12102.0,95.80803513526917
316,12103,56.5,43.5,RUS12103.0,97.48092889785767
317,12104,56.5,44.5,RUS12104.0,78.75322898228964
318,12105,56.5,45.5,RUS12105.0,77.16390887896219
319,12106,56.5,46.5,RUS12106.0,79.51050996780396
320,12107,56.5,47.5,RUS12107.0,64.523975054423
321,12108,56.5,48.5,RUS12108.0,42.60505934556325
322,12109,56.5,49.5,RUS12109.0,87.90185848871866
323,12110,56.5,50.5,RUS12110.0,98.3528176943461
324,12111,56.5,51.5,RUS12111.0,95.61093052228293
325,12112,56.5,52.5,RUS12112.0,98.65736564000449
326,12113,56.5,53.5,RUS12113.0,56.61733349164327
327,12114,56.5,54.5,RUS12114.0,68.61476500829062
328,12115,56.5,55.5,RUS12115.0,43.70845556259155
329,12116,56.5,56.5,RUS12116.0,30.068473021189373
330,12117,56.5,57.5,RUS12117.0,58.44706892967224
331,12118,56.5,58.5,RUS12118.0,75.18353263537088
332,12119,56.5,59.5,RUS12119.0,79.23949162165323
333,12120,56.5,60.5,RUS12120.0,74.36245481173196
334,12121,56.5,61.5,RUS12121.0,95.13607819875082
335,12122,56.5,62.5,RUS12122.0,56.18484020233154
336,12123,56.5,63.5,RUS12123.0,34.017280737559005
337,12124,56.5,64.5,RUS12124.0,31.180334091186523
338,12125,56.5,65.5,RUS12125.0,14.333797494570414
339,12126,56.5,66.5,RUS12126.0,22.759336233139038
340,12127,56.5,67.5,RUS12127.0,44.24863656361897
