,fid,lat,long,UN_cur_perc,NCP_cur
435,12511,55.5,91.5,0.0007850248793614662,0.3384377956390381
436,12512,55.5,92.5,0.0027075905797380277,0.0916082536180814
437,12513,55.5,93.5,0.0026920068963654747,0.11703322331110637
438,12514,55.5,94.5,0.0019413293204879217,0.1030769944190979
439,12515,55.5,95.5,0.0028207840383275783,0.048923165847857795
440,12516,55.5,96.5,0.00020192839870400396,0.11007971564928691
441,12518,55.5,98.5,7.824258162074664e-05,0.0846936081846555
442,12519,55.5,99.5,0.00032737239068112117,0.026186421513557434
443,12520,55.5,100.5,0.00025799417942075744,0.023464551816384
444,12521,55.5,101.5,0.008624926256487225,0.04398180233935515
445,12522,55.5,102.5,0.003827765080609877,0.0875220534702142
446,12810,54.5,30.5,0.006106274070594789,0.16904382407665253
447,12811,54.5,31.5,0.007960633369267122,0.4616408149401347
448,12812,54.5,32.5,0.010660174465984355,0.47415417432785034
449,12813,54.5,33.5,2.1815685671455754e-05,0.9170522292455038
450,12814,54.5,34.5,0.00010482958346635384,0.80828324953715
451,12815,54.5,35.5,0.0017189520825690596,0.7436028718948364
452,12816,54.5,36.5,0.0029245237826619184,0.8534573515256246
453,12817,54.5,37.5,0.0004701849271473631,0.9525760610898336
454,12818,54.5,38.5,9.670787304328437e-06,0.8893454670906067
455,12819,54.5,39.5,1.0044979131420585e-06,0.8655206759770712
456,12820,54.5,40.5,2.2001205600467896e-06,0.6768745382626852
457,12821,54.5,41.5,1.3188288848199268e-06,0.8759090304374695
