,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5,NCP_cur,pop,PN,country,PNpop_c_norm
399,59.0,59.0,58.0,59.0,58.0,60.0,59.0,60.0,59.0,59.0,82.20216034141295,85752.0,4088011.25,Russia,0.012258894636806633
400,60.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,59.0,82.47657962536371,47749.0,4347763.5,Russia,0.01121788826205773
401,61.0,59.0,60.0,59.0,60.0,60.0,61.0,60.0,61.0,59.0,86.19455067933316,3890.0,702812.375,Russia,0.001653008942199696
403,63.0,59.0,62.0,59.0,62.0,60.0,63.0,60.0,63.0,59.0,92.02779657855427,325.0,207909.1875,Russia,0.00045443180663537594
404,64.0,59.0,63.0,59.0,63.0,60.0,64.0,60.0,64.0,59.0,99.97502500916896,1.0,97018.921875,Russia,0.00020573756910987348
415,75.0,59.0,74.0,59.0,74.0,60.0,75.0,60.0,75.0,59.0,89.04669661812112,91.0,187268.3125,Russia,0.00040085874473491895
416,76.0,59.0,75.0,59.0,75.0,60.0,76.0,60.0,76.0,59.0,81.74496819313184,1102.0,1902969.5,Russia,0.004080747224345901
417,77.0,59.0,76.0,59.0,76.0,60.0,77.0,60.0,77.0,59.0,82.4988668151386,1900.0,3321391.0,Russia,0.007121465740861237
418,78.0,59.0,77.0,59.0,77.0,60.0,78.0,60.0,78.0,59.0,83.30985319291273,1671.0,3159673.75,Russia,0.006769002812471741
419,79.0,59.0,78.0,59.0,78.0,60.0,79.0,60.0,79.0,59.0,84.00931554377107,1317.0,2446153.5,Russia,0.005241390471308348
420,80.0,59.0,79.0,59.0,79.0,60.0,80.0,60.0,80.0,59.0,84.89594748304226,991.0,1802275.0,Russia,0.003862636432127975
421,81.0,59.0,80.0,59.0,80.0,60.0,81.0,60.0,81.0,59.0,84.10743354790907,1125.0,1866551.5,Russia,0.004004506337036861
422,82.0,59.0,81.0,59.0,81.0,60.0,82.0,60.0,82.0,59.0,82.40645935029332,1308.0,2160852.0,Russia,0.0046361401041818935
423,83.0,59.0,82.0,59.0,82.0,60.0,83.0,60.0,83.0,59.0,82.37137299003821,1719.0,2525125.75,Russia,0.005425674434814899
