,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
27926,287978.9375,-60.86555429509493,119.33871899919764,-60.5100703979436,27.0,12.0,26.0,12.0,26.0,13.0,27.0,13.0,27.0,12.0
27927,285468.75,-93.91687944718117,119.39746031746031,-93.86714012041598,28.0,12.0,27.0,12.0,27.0,13.0,28.0,13.0,28.0,12.0
27928,233407.53125,-48.333825587515186,118.17173048052622,-47.898264315325086,29.0,12.0,28.0,12.0,28.0,13.0,29.0,13.0,29.0,12.0
27929,227864.96875,-75.75399472467178,73.1870944949716,-75.53882823146768,30.0,12.0,29.0,12.0,29.0,13.0,30.0,13.0,30.0,12.0
27930,425761.375,-25.94167331407176,30.42029705019625,-25.24315263450096,31.0,12.0,30.0,12.0,30.0,13.0,31.0,13.0,31.0,12.0
27931,283786.53125,-46.77817360297997,57.41182660514302,-46.27300185691952,32.0,12.0,31.0,12.0,31.0,13.0,32.0,13.0,32.0,12.0
27932,43149.984375,-39.97762256576715,70.34743277354895,-39.421558850506536,33.0,12.0,32.0,12.0,32.0,13.0,33.0,13.0,33.0,12.0
27933,267292.40625,49.11588514310814,116.35912075223798,50.42046064486727,34.0,12.0,33.0,12.0,33.0,13.0,34.0,13.0,34.0,12.0
27934,391216.90625,13.2498827177155,114.39979627669784,14.239295480344543,35.0,12.0,34.0,12.0,34.0,13.0,35.0,13.0,35.0,12.0
27935,259749.53125,13.83236374945335,56.20646572389146,14.514162381188127,36.0,12.0,35.0,12.0,35.0,13.0,36.0,13.0,36.0,12.0
27936,279801.25,58.249717433356714,116.18360800746959,56.5787657310323,37.0,12.0,36.0,12.0,36.0,13.0,37.0,13.0,37.0,12.0
27937,1223577.625,4.902876513453734,77.54378272485981,3.2544522869973207,38.0,12.0,37.0,12.0,37.0,13.0,38.0,13.0,38.0,12.0
27938,1819610.875,-34.7928647107036,103.33938155870825,-35.84967720090154,39.0,12.0,38.0,12.0,38.0,13.0,39.0,13.0,39.0,12.0
27939,1996242.375,29.469824524689795,121.23470853583098,27.41275968555672,40.0,12.0,39.0,12.0,39.0,13.0,40.0,13.0,40.0,12.0
27940,972801.8125,16.412804792137454,103.84328025704619,14.65245136968739,41.0,12.0,40.0,12.0,40.0,13.0,41.0,13.0,41.0,12.0
27941,85746.0390625,65.97016644263725,124.85818176914695,63.88151311289616,42.0,12.0,41.0,12.0,41.0,13.0,42.0,13.0,42.0,12.0
27942,114229.0,-6.405198110812491,95.68077064493255,-5.999571037127175,43.0,12.0,42.0,12.0,42.0,13.0,43.0,13.0,43.0,12.0
27943,20045.228515625,58.104811219393795,99.27106250055417,57.90649992005384,44.0,12.0,43.0,12.0,43.0,13.0,44.0,13.0,44.0,12.0
27944,53818.77734375,69.05840034484943,185.9290731692376,64.42716068182233,45.0,12.0,44.0,12.0,44.0,13.0,45.0,13.0,45.0,12.0
27945,374.4326171875,78.94129855327984,183.52654015580865,74.06293767392852,46.0,12.0,45.0,12.0,45.0,13.0,46.0,13.0,46.0,12.0
27953,20441.3125,104.89406028233266,231.58527766991477,99.72210841402674,54.0,12.0,53.0,12.0,53.0,13.0,54.0,13.0,54.0,12.0
27974,127089.390625,-93.47059297952315,-12.689831628107234,-93.47676251127866,75.0,12.0,74.0,12.0,74.0,13.0,75.0,13.0,75.0,12.0
27975,3897562.5,-48.451682942864934,64.80982665447956,-48.49526787575568,76.0,12.0,75.0,12.0,75.0,13.0,76.0,13.0,76.0,12.0
27976,4385772.5,-36.99428663935487,62.769056078490166,-37.326776525686185,77.0,12.0,76.0,12.0,76.0,13.0,77.0,13.0,77.0,12.0
27977,3647033.5,-37.678424121961044,65.60947411094524,-38.03995082578759,78.0,12.0,77.0,12.0,77.0,13.0,78.0,13.0,78.0,12.0
27978,6333612.5,-57.92646771490993,67.38952690901125,-58.1461725042383,79.0,12.0,78.0,12.0,78.0,13.0,79.0,13.0,79.0,12.0
27979,6911468.0,-91.21198094239892,54.69875574914042,-91.50719318963786,80.0,12.0,79.0,12.0,79.0,13.0,80.0,13.0,80.0,12.0
27980,288356.4375,-86.43734490494946,67.14593462127927,-86.48824490869914,81.0,12.0,80.0,12.0,80.0,13.0,81.0,13.0,81.0,12.0
27998,92775.5625,-19.09800466044062,11.2161725643,-22.32757279159585,99.0,12.0,98.0,12.0,98.0,13.0,99.0,13.0,99.0,12.0
27999,490814.5625,-22.38644610305343,6.331801992936996,-19.92054534852967,100.0,12.0,99.0,12.0,99.0,13.0,100.0,13.0,100.0,12.0
28001,493984.03125,-53.88714804735907,2.7593376784889743,-53.09972697118435,102.0,12.0,101.0,12.0,101.0,13.0,102.0,13.0,102.0,12.0
28002,894668.0625,-14.11389377722422,24.39364906914848,-17.64933908099575,103.0,12.0,102.0,12.0,102.0,13.0,103.0,13.0,103.0,12.0
28003,775285.25,-6.087501342247902,45.56434228562971,-15.38440206362755,104.0,12.0,103.0,12.0,103.0,13.0,104.0,13.0,104.0,12.0
28004,867030.625,-3.903033990293019,46.51532637615886,-13.286699071327497,105.0,12.0,104.0,12.0,104.0,13.0,105.0,13.0,105.0,12.0
28005,935171.0625,-25.39383670246961,37.36371895061712,-32.32708026613045,106.0,12.0,105.0,12.0,105.0,13.0,106.0,13.0,106.0,12.0
